schools_id,name
1,"Abia State University, Uturu."
2,"Abubakar Tafawa Balewa University, Bauchi"
3,"Achievers University, Owo"
4,Adamawa State University Mubi
5,"Adekunle Ajasin University, Akungba."
6,"Adeleke University,Ede."
7,"Afe Babalola University, Ado-Ekiti - Ekiti State"
8,"African University of Science & Technology, Abuja"
9,"Ahmadu Bello University, Zaria"
10,"Ajayi Crowther University, Ibadan"
11,"Akwa Ibom State University of Technology, Uyo"
12,"Al-Hikmah University, Ilorin"
13,"Al-Qalam University, Katsina"
14,"Ambrose Alli University, Ekpoma,"
15,"American University of Nigeria, Yola"
16,"Anambra State University of Science & Technology, Uli"
17,"Babcock University,Ilishan-Remo"
18,"Bauchi State University, Gadau"
19,"Bayero University,Kano"
20,Baze University
21,"Bells University of Technology, Otta"
22,"Benson Idahosa University,Benin City"
23,"Benue State University, Makurdi."
24,"Bingham University, New Karu"
25,"Bowen University, Iwo"
26,"Bukar Abba Ibrahim University, Damaturu."
27,"Caleb University, Lagos"
28,"Caritas University, Enugu"
29,"CETEP City University, Lagos"
30,Covenant University Ota
31,Crawford University Igbesa
32,"Crescent University,"
33,"Cross River State University of Science &Technology, Calabar"
34,Delta State University Abraka
35,"Ebonyi State University, Abakaliki"
36,Ekiti State University
37,"Elizade University, Ilara-Mokin"
38,"Enugu State University of Science and Technology, Enugu"
39,"Evangel University, Akaeze"
40,Federal University Gashua
41,"Federal University of Petroleum Resources, Effurun"
42,"Federal University of Technology, Akure"
43,"Federal University of Technology, Minna."
44,"Federal University of Technology, Owerri"
45,"Federal University, Dutse, Jigawa State"
46,"Federal University, Dutsin-Ma, Katsina"
47,"Federal University, Kashere, Gombe State"
48,"Federal University, Lafia, Nasarawa State"
49,"Federal University, Lokoja, Kogi State"
50,"Federal University, Ndufu-Alike, Ebonyi State"
51,"Federal University, Otuoke, Bayelsa"
52,"Federal University, Oye-Ekiti, Ekiti State"
53,"Federal University, Wukari, Taraba State"
54,"Federal University,Birnin Kebbi."
55,"Federal University,Gusau."
56,"Fountain Unveristy,Oshogbo"
57,"Godfrey Okoye University, Ugwuomu-Nike - Enugu State"
58,"Gombe State Univeristy, Gombe"
59,"Gregory University, Uturu"
60,"Ibrahim Badamasi Babangida University, Lapai"
61,Igbinedion University Okada
62,"Ignatius Ajuru University of Education,Rumuolumeni."
63,"Imo State University, Owerri"
64,Jigawa State University
65,"Joseph Ayo Babalola University, Ikeji-Arakeji"
66,"Kaduna State University, Kaduna"
67,"Kano University of Science & Technology, Wudil"
68,"Kebbi State University, Kebbi"
69,Kogi State University Anyigba
70,"Kwara State University, Ilorin"
71,"Kwararafa University, Wukari"
72,"Ladoke Akintola University of Technology, Ogbomoso"
73,"Lagos State University Ojo, Lagos."
74,"Landmark University,Omu-Aran."
75,"Lead City University, Ibadan"
76,"Madonna University, Okija"
77,"Mcpherson University, Seriki Sotayo, Ajebo"
78,"Michael Okpara Uni. of Agric., Umudike"
79,"Modibbo Adama University of Technology, Yola"
80,"Nasarawa State University, Keffi"
81,"National Open University of Nigeria, Lagos."
82,"Niger Delta Unversity, Yenagoa"
83,Nigeria Police Academy Wudil
84,"Nigerian Defence Academy,Kaduna"
85,"Nigerian-Turkish Nile University, Abuja"
86,"Nnamdi Azikiwe University, Awka"
87,"Northwest University, Kano"
88,"Novena University, Ogume"
89,"Obafemi Awolowo University,Ile-Ife"
90,"Obong University, Obong Ntak"
91,"Oduduwa University, Ipetumodu - Osun State"
92,Olabisi Onabanjo University Ago-Iwoye
93,"Ondo State University of Science & Technology, Okitipupa"
94,"Osun State University, Oshogbo"
95,"Pan-African University, Lagos"
96,"Paul University, Awka - Anambra State"
97,"Plateau State University, Bokkos"
98,"Redeemer's University, Mowe"
99,"Renaissance University,Enugu"
100,"Rhema University, Obeama-Asa - Rivers State"
101,Rivers State University of Science & Technology
102,"Salem University,Lokoja"
103,"Samuel Adegboyega University,Ogwa."
104,"Sokoto State University, Sokoto"
105,"Southwestern University, Oku Owa"
106,"Tai Solarin Univ. of Education, Ijebu-Ode"
107,"Tansian University,Umunya"
108,"Taraba State University, Jalingo"
109,"Technical University,Ibadan"
110,"Umaru Musa Yar'Adua University, Katsina"
111,"University of Abuja, Gwagwalada"
112,"University of Agriculture, Abeokuta."
113,"University of Agriculture, Makurdi."
114,University of Benin
115,University of Calabar
116,University of Ibadan
117,University of Ilorin
118,University of Jos
119,University of Lagos
120,University of Maiduguri
121,"University of Mkar, Mkar"
122,"University of Nigeria, Nsukka"
123,University of Port-Harcourt
124,University of Uyo
125,Usumanu Danfodiyo University
126,Veritas University
127,"Wellspring University, Evbuobanosa - Edo State"
128,"Wesley Univ. of Science & Tech.,Ondo"
129,"Western Delta University, Oghara"
